index,sentence
0,"""""""Ah!"""", stöhnte er und schlug auf das lärmende Gerät neben seinem Bett."""
1,"""""""Allerdings"""", erklärte er mit bedeutungsvoller Miene."""
2,"""""""Beim Wrestling ist alles nur Show"""", behauptet Willi."""
3,"""""""Bemerkenswert"""", staunte Kurt."""
4,"""""""Benimm dich anständig!"""", mahnte Christiane an."""
5,"""""""Birnen habe ich leider gerade nicht da"""", bedauerte Bruno."""
6,"""""""Brauche ich heute einen Regenschirm?"""", fragte Theodora ihren digitalen Assistenten."""
7,"""""""Brauchen Sie Starthilfe?"""", bot Fritz hilfsbereit an."""
8,"""""""Christine hat ein viel größeres Planschbecken"""", erzählt Marie."""
9,"""""""Da muss ich mich vertan haben"""", grübelte Kunibert."""
10,"""""""Da steht ein Einbrecher auf dem Balkon"""", flüsterte sie ängstlich in mein Ohr."""
11,"""""""Dann lass uns das Meeting auf morgen verschieben"""", meint Marvin."""
12,"""""""Daran kann ich beim besten Willen keinen Gefallen finden"""", sagte Silja mit einem ernsten Gesichtsausdruck."""
13,"""""""Das Event wird in Reutlingen stattfinden"""", gab Guido bekannt."""
14,"""""""Das braucht man für die Maschine?"""", fragte ich ungläubig."""
15,"""""""Das hört sich nach einem Schaden im Kugellager an"""", schätzte Aaron und kratzte sich am Kinn."""
16,"""""""Das ist eine echte Dampflok"""", staunte Pit."""
17,"""""""Das ist sehr ehrenwert"""", nickte Benny anerkennend."""
18,"""""""Das ist sehr nett, aber mein Herz ist leider schon vergeben"""", bedauerte Simone."""
19,"""""""Das kann kein Dauerzustand sein"""", stellte ein Sprecher vor laufenden Kameras klar."""
20,"""""""Das muss ich unbedingt Simon zeigen"""", rief Heike aufgeregt."""
21,"""""""Das versteht sich ja von selbst"""", kommentiert Norbert."""
22,"""""""Dein Lippenstift färbt ab"""", beklagte sich Johannes."""
23,"""""""Den wievielten haben wir heute?"""", wollte Gerrit wissen."""
24,"""""""Der Röhrenfernseher war damals aber viel schwerer als heutige Flachbildschirme"""", gab Nicole zu bedenken."""
25,"""""""Der einzige Lichtblick war das gute Essen"""", fand Judith."""
26,"""""""Der jedoch keiner ist, weil ihm das Prädikat fehlt"""", korrigiert mich der Besserwisser."""
27,"""""""Die Aufgabe ist ziemlich schwierig, gell?"""", versuchte Kai ein Gespräch mit Helena aufzubauen."""
28,"""""""Die Truhe müsste auch mal wieder abgetaut werden"""", seufzt Dietmar."""
29,"""""""Die Zeit vergeht wie im Fluge"""", stellte Jasmin fest."""
30,"""""""Du hast es doch nicht etwa verschlampt?"""", hakte Adam nach."""
31,"""""""Du hast meine uneingeschränkte Unterstützung"""", versicherte Hermann."""
32,"""""""Du solltest nicht so viel über andere lästern"""", sagt Rudolf zu Moni."""
33,"""""""Eine Packung"""" ist keine geeignete Mengenangabe, wenn man ein Rezept weitergeben will."""
34,"""""""Erstellen Sie mir eine Kopie im DIN-A-drei Format"""", bat Guido seine Sekretärin."""
35,"""""""Expresslieferung"""", hechelte er, völlig außer Atem."""
36,"""""""Freilich haben auch Tiere Gefühle"""", sagt Hubert."""
37,"""""""Funktionale Programmierung ist nicht so mein Ding"""", räumte Melvin ein."""
38,"""""""Fürchtet euch nicht"""", sprach der Bengel und griff an."""
39,"""""""Gewöhne dir endlich mal an, deinen Arbeitsplatz sauber und ordentlich zu hinterlassen"""", schnauzte Franz ihn an."""
40,"""""""Gut Ding will Weile haben"""", beschwichtigte Edmund."""
41,"""""""Gut, dass ich den Beleg nicht weggeworfen habe"""", schmunzelte er in sich hinein."""
42,"""""""Guten Morgen, Frau Schäfer"""", raunte die ganze Klasse wenig motiviert im Chor."""
43,"""""""Hast du noch Kontakt zu Mandy?"""", erkundigte sich Sebastian."""
44,"""""""Hat jemand eine violette Haarspange gesehen?"""", fragt Elli in die Runde."""
45,"""""""Ich baue eine Machtübernahmemaschine"""", antwortete ich unverzüglich."""
46,"""""""Ich bin doch nicht blöd"""", antwortete der Alte und wusste nicht, ob er beleidigt sein sollte."""
47,"""""""Ich bin gerade voll im Workflow"""", teilte Alexandra mit."""
48,"""""""Ich bin platt wie eine Flunder"""", stieß Markus erschöpft aus und ließ sich aufs Sofa fallen."""
49,"""""""Ich bräuchte eine Handcreme gegen trockene Haut"""", erklärte Simone ihr Anliegen."""
