sentence
"""""""Ah!"""", stöhnte er und schlug auf das lärmende Gerät neben seinem Bett."""
"""""""Allerdings"""", erklärte er mit bedeutungsvoller Miene."""
"""""""Beim Wrestling ist alles nur Show"""", behauptet Willi."""
"""""""Bemerkenswert"""", staunte Kurt."""
"""""""Benimm dich anständig!"""", mahnte Christiane an."""
"""""""Birnen habe ich leider gerade nicht da"""", bedauerte Bruno."""
"""""""Brauche ich heute einen Regenschirm?"""", fragte Theodora ihren digitalen Assistenten."""
"""""""Brauchen Sie Starthilfe?"""", bot Fritz hilfsbereit an."""
"""""""Christine hat ein viel größeres Planschbecken"""", erzählt Marie."""
"""""""Da muss ich mich vertan haben"""", grübelte Kunibert."""
"""""""Da steht ein Einbrecher auf dem Balkon"""", flüsterte sie ängstlich in mein Ohr."""
"""""""Dann lass uns das Meeting auf morgen verschieben"""", meint Marvin."""
"""""""Daran kann ich beim besten Willen keinen Gefallen finden"""", sagte Silja mit einem ernsten Gesichtsausdruck."""
"""""""Das Event wird in Reutlingen stattfinden"""", gab Guido bekannt."""
"""""""Das braucht man für die Maschine?"""", fragte ich ungläubig."""
"""""""Das hört sich nach einem Schaden im Kugellager an"""", schätzte Aaron und kratzte sich am Kinn."""
"""""""Das ist eine echte Dampflok"""", staunte Pit."""
"""""""Das ist sehr ehrenwert"""", nickte Benny anerkennend."""
"""""""Das ist sehr nett, aber mein Herz ist leider schon vergeben"""", bedauerte Simone."""
"""""""Das kann kein Dauerzustand sein"""", stellte ein Sprecher vor laufenden Kameras klar."""
"""""""Das muss ich unbedingt Simon zeigen"""", rief Heike aufgeregt."""
"""""""Das versteht sich ja von selbst"""", kommentiert Norbert."""
"""""""Dein Lippenstift färbt ab"""", beklagte sich Johannes."""
"""""""Den wievielten haben wir heute?"""", wollte Gerrit wissen."""
"""""""Der Röhrenfernseher war damals aber viel schwerer als heutige Flachbildschirme"""", gab Nicole zu bedenken."""
"""""""Der einzige Lichtblick war das gute Essen"""", fand Judith."""
"""""""Der jedoch keiner ist, weil ihm das Prädikat fehlt"""", korrigiert mich der Besserwisser."""
"""""""Die Aufgabe ist ziemlich schwierig, gell?"""", versuchte Kai ein Gespräch mit Helena aufzubauen."""
"""""""Die Truhe müsste auch mal wieder abgetaut werden"""", seufzt Dietmar."""
"""""""Die Zeit vergeht wie im Fluge"""", stellte Jasmin fest."""
"""""""Du hast es doch nicht etwa verschlampt?"""", hakte Adam nach."""
"""""""Du hast meine uneingeschränkte Unterstützung"""", versicherte Hermann."""
"""""""Du solltest nicht so viel über andere lästern"""", sagt Rudolf zu Moni."""
"""""""Eine Packung"""" ist keine geeignete Mengenangabe, wenn man ein Rezept weitergeben will."""
"""""""Erstellen Sie mir eine Kopie im DIN-A-drei Format"""", bat Guido seine Sekretärin."""
"""""""Expresslieferung"""", hechelte er, völlig außer Atem."""
"""""""Freilich haben auch Tiere Gefühle"""", sagt Hubert."""
"""""""Funktionale Programmierung ist nicht so mein Ding"""", räumte Melvin ein."""
"""""""Fürchtet euch nicht"""", sprach der Bengel und griff an."""
"""""""Gewöhne dir endlich mal an, deinen Arbeitsplatz sauber und ordentlich zu hinterlassen"""", schnauzte Franz ihn an."""
"""""""Gut Ding will Weile haben"""", beschwichtigte Edmund."""
"""""""Gut, dass ich den Beleg nicht weggeworfen habe"""", schmunzelte er in sich hinein."""
"""""""Guten Morgen, Frau Schäfer"""", raunte die ganze Klasse wenig motiviert im Chor."""
"""""""Hast du noch Kontakt zu Mandy?"""", erkundigte sich Sebastian."""
"""""""Hat jemand eine violette Haarspange gesehen?"""", fragt Elli in die Runde."""
"""""""Ich baue eine Machtübernahmemaschine"""", antwortete ich unverzüglich."""
"""""""Ich bin doch nicht blöd"""", antwortete der Alte und wusste nicht, ob er beleidigt sein sollte."""
"""""""Ich bin gerade voll im Workflow"""", teilte Alexandra mit."""
"""""""Ich bin platt wie eine Flunder"""", stieß Markus erschöpft aus und ließ sich aufs Sofa fallen."""
"""""""Ich bräuchte eine Handcreme gegen trockene Haut"""", erklärte Simone ihr Anliegen."""
"""""""Ich denke das Risiko können wir in Kauf nehmen"""", urteilte Ulrike."""
"""""""Ich finde, das sieht bescheuert aus"""", äußerte sich jetzt Steven, der bisher noch gar nichts gesagt hatte."""
"""""""Ich habe dem Tod schon mehrfach ins Auge gesehen"""", leitete Holger zu seinen Heldenstorys über."""
"""""""Ich habe ihn umgebracht"""", gestand er mit gesenktem Blick."""
"""""""Ich kann das Geschwafel dieses sogenannten Wirtschaftsexperten nicht mehr hören"""", beschwerte sich Monika."""
"""""""Ich kann mich nicht einloggen"""", wendet sich Kai an den Administrator."""
"""""""Ich kann mich noch immer nicht zwischen Volvo und VW entscheiden"""", seufzt Gernot."""
"""""""Ich kenne Klaas aber nur flüchtig"""", schränkte Tobias sogleich ein."""
